step	accuracy
0	0.528249979019165
1	0.5839999914169312
2	0.6228749752044678
3	0.6499999761581421
4	0.6614999771118164
5	0.6848750114440918
6	0.6923750042915344
7	0.6982499957084656
8	0.7135000228881836
9	0.7080000042915344
