step	loss
0	0.7379975914955139
1	0.6751177310943604
2	0.6518733501434326
3	0.6329888105392456
4	0.6165264844894409
5	0.5897397994995117
6	0.5848082900047302
7	0.570807695388794
8	0.5576256513595581
9	0.5629185438156128
